economy,year,new_displacements
AB9,2018,2
AB9,2019,40000
AB9,2022,29000
AB9,2023,1000
AB9,2024,14600
AFG,2010,70000
AFG,2011,3000
AFG,2012,24940
AFG,2013,15210
AFG,2014,13180
AFG,2015,13980
AFG,2016,5460
AFG,2017,26834
AFG,2018,426397
AFG,2019,116471
AFG,2020,49232
AFG,2021,24979
AFG,2022,73326
AFG,2023,37161
AFG,2024,1016686
AGO,2010,78900
AGO,2011,227500
AGO,2012,6380
AGO,2013,2400
AGO,2015,5580
AGO,2016,19000
AGO,2017,13914
AGO,2018,11058
AGO,2019,6684
AGO,2020,24572
AGO,2021,21285
AGO,2022,1786
AGO,2023,79387
AGO,2024,85582
AIA,2017,500
ALB,2013,452
ALB,2014,24
ALB,2015,4200
ALB,2016,3029
ALB,2017,3500
ALB,2018,108
ALB,2021,250
ALB,2022,320
ALB,2023,13
ALB,2024,9
AND,2024,5
ARE,2017,840
ARE,2019,210
ARE,2020,600
ARE,2024,2070
ARG,2012,2000
ARG,2013,6300
ARG,2014,32100
ARG,2015,36020
ARG,2016,12540
ARG,2017,17858
ARG,2018,16072
ARG,2019,22618
ARG,2020,3705
ARG,2021,707
ARG,2022,735
ARG,2023,9843
ARG,2024,13845
ARM,2024,520
ASM,2018,4600
ASM,2020,390
ASM,2022,59
ATG,2017,1400
ATG,2023,300
AUS,2010,1000
AUS,2011,10000
AUS,2012,16000
AUS,2013,12732
AUS,2014,1171
AUS,2015,5711
AUS,2016,3238
AUS,2017,30939
AUS,2018,11258
AUS,2019,24754
AUS,2020,51893
AUS,2021,48934
AUS,2022,17287
AUS,2023,4674
AUS,2024,32177
AUT,2013,1000
AUT,2016,251
AUT,2019,273
AUT,2021,67
AUT,2023,670
AUT,2024,4085
AZE,2010,32000
AZE,2018,390
AZE,2022,190
AZE,2023,1702
AZE,2024,101
BDI,2010,1500
BDI,2014,12000
BDI,2015,3100
BDI,2016,6600
BDI,2017,10903
BDI,2018,36086
BDI,2019,27065
BDI,2020,51698
BDI,2021,64079
BDI,2022,12866
BDI,2023,20716
BDI,2024,59867
BEL,2018,50
BEL,2019,10
BEL,2021,16400
BEL,2022,101
BEL,2023,100
BEL,2024,49
BEN,2010,275000
BEN,2012,10000
BEN,2013,15410
BEN,2016,960
BEN,2017,3500
BEN,2018,22094
BEN,2019,5000
BEN,2020,7020
BEN,2021,10000
BEN,2022,6900
BEN,2024,3700
BFA,2010,20000
BFA,2013,1800
BFA,2015,3700
BFA,2016,16000
BFA,2017,8250
BFA,2018,5160
BFA,2020,20000
BFA,2022,2400
BFA,2023,24600
BFA,2024,4000
BGD,2010,569000
BGD,2011,400000
BGD,2012,651000
BGD,2013,1159400
BGD,2014,543000
BGD,2015,530400
BGD,2016,614000
BGD,2017,946130
BGD,2018,77540
BGD,2019,4083580
BGD,2020,4443259
BGD,2021,98751
BGD,2022,1524068
BGD,2023,1790796
BGD,2024,2402068
BGR,2012,2100
