economy,year,predicted_alert_probability,disp_per_100k,total_population
SSD,2023,92.9,1459.118199929742,11483374.0
SOM,2023,92.0,11122.630982783832,18358615.0
PHL,2023,90.7,1856.1996206515348,114891199.0
HND,2023,90.4,52.1942486559934,10644851.0
CUB,2023,87.7,381.7628259196904,11019931.0
FJI,2023,86.8,730.4048607090879,924145.0
BGD,2023,85.8,1044.396941942003,171466990.0
MWI,2023,84.1,3126.065828102296,21104482.0
NER,2023,81.7,364.68075315520525,26159867.0
LKA,2023,80.9,74.44752007986568,22037000.0
NIC,2023,79.5,9.642985321705671,6823613.0
TON,2023,79.4,0.0,104597.0
ETH,2023,77.6,479.5352290495956,128691692.0
BDI,2023,77.4,151.328212601675,13689450.0
MDG,2023,77.1,377.68706509553874,31195932.0
TLS,2023,76.4,0.0,1384286.0
COD,2023,76.3,126.10959375631649,105789731.0
TCD,2023,76.2,79.97281855891154,19319064.0
MMR,2023,75.6,1838.5002286372,54133798.0
CAF,2023,75.5,1358.235283956804,5152421.0
